,Headline,Price,Address,Bedrooms,Bathrooms,Balcony,Super Area,Price per sqft,Status,Transaction Type,Floor,Car parking,Furnished status,Lifts,Description,Price breakup,Address,Landmarks,Age of construction,Price comparison,Expected rent,Monthly EMI,Owner/Builder
0,2 BHK 1050 Sq-ft Flat,65.9 Lac,"Whitefield, Bangalore",2,2,0,1050,"6,276",Ready to Move,New,,1 Covered,,"Yes, 1","Samarth Gajanana Sumuk, located in Bangalore, is a residential development of Samarth Realty Developers. It offers spacious and skilfully designed 2BHK and 3BHK apartments. The project is well equipped with all the basic amenities to facilitate the needs of the residents. The site is in close proximity to various civic utilities.",65.9 Lac,"Whitefield, Bangalore - East, Karnataka",,,,,"33,420 per month 33 Lac loan for 15 years ",Y Prasad
1,3 BHK 2465 Sq-ft Flat,2.56 Cr,"Binnypete, Bangalore",3,3,0,2465,"10,385",Ready to Move,New,,None,Unfurnished,Yes,"Shapoorji Pallonji Parkwest Phase 2 is a project by Shapoorji Pallonji and Co Limited and situated in Binnypete, Bengaluru. It is a perfect blend of comfort and contemporary style of living. The adequate space and outrageous surroundings have complimented the project very well. The vivid spirit of the interiors and exquisite exteriors will make you feel the positive energy inside the home.",2.56 Cr,"Binnypete, Bangalore - Central, Karnataka",,,23.5% higher than the avg. price,,1.3 Lac per month 1.28 Cr loan for 15 years ,Moinulla Baig
2,3 BHK 1657 Sq-ft Flat,86.4 Lac,"Kanakapura Road, Bangalore",3,3,0,1657,"5,214",Ready to Move,New,18 (Out of 20 floors),1 Open,,"Yes, 3","Unmatched in quality, standing far above the rest, with a view that is unbounded and captivating, Purva Highland merits its name. Within the large lavishly equipped and decorated high-rise apartments, let the pure untouched breeze soothe your nerves. Pamper yourself with the luxuries that Purva Highland has to offer, with its world-class amenities like the amphitheater or the health spa, the clubhouse or the one-of-a-kind swimming pool. Purva Highland is for those who aspire for higher spheres of life.",86.4 Lac,"kanakapura road, Kanakapura Road, Bangalore - South, Karnataka",,,10.7% higher than the avg. price,,"43,816 per month 43.2 Lac loan for 15 years ",Puravankara Puravankara
3,4 BHK 3969 Sq-ft Flat,5.16 Cr,"RT Nagar, Bangalore",4,4,0,3969,"13,001",Ready to Move,New,17 (Out of 17 floors),1 Covered,,"Yes, 3",Presenting HM Tropical Tree with 82% open & green space. Your home will truly be one-of-a-kind. Located in the heart of Bangalore is a home with just 18% built-up area. And we have used the other 82% judiciously to give you a home that compliments your ideas of living in the lap of nature.,5.16 Cr,"RT Nagar, Bangalore - North, Karnataka",,,16.3% higher than the avg. price,,1.5 Lac per month 2.58 Cr loan for 15 years ,Gayathri
4,2 BHK 1045 Sq-ft Flat,59.6 Lac,"Sarjapur Road, Bangalore",2,2,1,1045,"5,703",Ready to Move,New,4 (Out of 5 floors),"1 Covered, 1 Open",,"Yes, 1",The spacious and luxurious 2BHK apartments are available for sale in GR Shrushti that is located in between Off Hosur road and Sarajpur road in Bangalore and offers good connectivity to signal free NICE corridor road. These apartments are ready to move and covers the total area of 1045 sq.ft,59.6 Lac,"Sarjapur Road, Bangalore - East, Karnataka",Near to Amritha Collage,New Construction,12.1% higher than the avg. price,,"30,225 per month 29.8 Lac loan for 15 years ",GR Constructions
5,3 BHK 1578 Sq-ft Flat,68.6 Lac,"Sarjapur Road, Bangalore",3,2,0,1578,"4,347",Under Construction,New,,None,,No,"An abode with privileged amenities and proximity to IT Parks, hospitals and schools, T.G.Ascent is a rare opportunity for uncompromised living. Relax in lush gardens, Sprint on the jogging track, get fit in the gym, take a dip in the swimming pool, host a party in the posh club house, practice cricket , compete in a game of basketball and many more activities to make sure you live your life daily to the fullest.",68.6 Lac,"Sarjapur Road, Bangalore - East, Karnataka",,,12.4% higher than the avg. price,,"34,789 per month 34.3 Lac loan for 15 years ",Sandeep Kumar
6,2 BHK 1020 Sq-ft Flat,50.2 Lac,"Hulimavu, Bangalore",1,2,0,1020,"4,922",Under Construction,New,,1 Covered,,"Yes, 1","Eternity Epic is exquisitely designed homes that incorporate the finest in design and construction. The property is ensconced in a lush green environment with beautifully landscaped surroundings, thoughtfully designed, the homes boast of spacious interiors that are airy and well ventilated and sprawling exteriors with landscaped gardens.",50.2 Lac,"Hulimavu, Bangalore - South, Karnataka",,,,,"25,458 per month 25.1 Lac loan for 15 years ",Sneha M
7,Residential Plot,58.0 Lac,"Nitesh Long Island,Devanahalli,Bangalore",0,0,0,2000,,,,,None,,No,"Nitesh Long Island located on Devanahalli main road is a plotted development with top of the line infrastructure and amenities. With its internationally designed landscape features, promenades and manicured gardens with wide roads and pathways, this development is truly the future of Bangalore. A large capacity water treatment plant and overhead tank has water line termination to every plot. Power supply cables are housed underground for maximum safety and convenience.",58.0 Lac,"Devanahalli, Bangalore - North, Karnataka",,,,,"29,414 per month 29 Lac loan for 15 years ",Murali Krishna
8,3 BHK 1477 Sq-ft Flat,81.5 Lac,"Sarjapur Road, Bangalore",3,3,0,1477,"5,518",Under Construction,New,4 (Out of 4 floors),None,,"Yes, 2","In the Inspira business paradigm, a key element is the time factor. The delivery model has incorporated this scrupulously. The result has been that none of the projects so far has ever been delayed. In a given space, the ability of a builder is to provide ample area and lung Space in an apartment, these have formed the cornerstone of all Inspira-designed apartments. Our well designed spaces oozes with large spaces brimming with opulence exude visual warmth and elegance.",81.5 Lac,"Sarjapur Road, Bangalore, Sarjapur Road, Bangalore - East, Karnataka",,,,,"41,331 per month 40.8 Lac loan for 15 years ",Santosh
9,3 BHK 1657 Sq-ft Flat,99.4 Lac,"Whitefield, Bangalore",3,3,0,1657,"5,999",Under Construction,New,,None,,No,"Brigade Utopia apartments enjoy the location advantage of being at walking distance from major IT parks like ITPL, GR Tech Park, Brigade Tech Park to name a few. Located in Varthur Road, just off main ITPL/Varthur Road, Whitefield road, Brigade Utopia apartments have serene and tranquil atmosphere and are designed to have ample sunlight and ventilation in each and every residential unit. Brigade Utopia has all top end amenities like Swimming Pool, gymnasium, clubhouse, etc. and the interiors are fitted with branded fixtures. Round the clock security, CCTV surveillance etc., are a few notable security features of Brigade Utopia, Varthur Road, Varthur Road and Whitefield Bangalore.",99.4 Lac,"Whitefield, Bangalore - East, Karnataka",,,19.9% higher than the avg. price,,"50,409 per month 49.7 Lac loan for 15 years ",Prakash Pandey
